phase,relation,form,domain,outcome,best_agreement,reason
35,19/4 = double-cover derivation,N = 4 + (1/2)f,mass,DERIVED,19/4 derived; decuplet <= 0.29%,half-twist = spin-1/2 = theta=1/2
34,octet on E-ladder,octet coefficients,mass,NEGATIVE,negative (mixing not clean),octet not an E-ladder; resolved as golden partition in Phase 45
36,crystallization D(z): 3->2,dimensional,cosmological,SUPPORTED,CMB decisive: D->2 at recombination 985 sigma off; D~3 at obs z,crystallization completes before recombination
37,force couplings on golden harmonics,em/weak/strong ladders,coupling,NEGATIVE,em/weak ~ phi^3 (2.3%) only; others 19-22% off,"golden harmonics live in MASS spectrum, not bare couplings"
38,alpha_s(E) = (1/phi^2) phi^-n(E),mass -> coupling,coupling,SUPPORTED,"M_Z 3.1%, m_tau 1.3%",STRONG supported; per-force ladder partial
39,principled f(n_f) = phi^-(n_f-3)/6,flavor threshold,coupling,PARTIAL,"improves m_t 2.7%, m_tau 2.0%; no single rule fits all 4","threshold confirmed, closure open (Closed 42-46)"
40,"E(a,b) = -cos(a-b) -> CHSH 2.83",shared substrate,quantum,SUPPORTED,"S=2.83 (Tsirelson), LHV capped 2.00",EPR resolved as mechanism
41,collapse as entropic crystallization,phase transition,quantum,SUPPORTED,"entropy drops 6%, golden coherence 0.86, unitarity 0.0","collapse dynamical, strict unitarity"
42,alpha^-1 = 360/phi^(2+alpha),self-referential fixed point,coupling,DEMOTED,0.0075% BUT fails all four robustness checks,"non-unique root, base-unspecific 0.09% basin, unit-fragile, 14 k-values"
43,2-loop golden closure,"b1 cast, full-curve RGE",coupling,NEGATIVE,"m_b closes +0.75% but M_Z -42%, m_t -76%",irreducible m_b->M_Z slope conflict
46,reference-level fix of alpha_s closure,any legitimate reference set,coupling,NEGATIVE,all four ref choices leave m_b/M_Z OUT,"power-law-vs-log shape mismatch, reference-irreducible"
44,BAO ruler discriminates crystallization,DESI DR1 ruler,cosmological,NEGATIVE,flat z_c basin; joint dchi^2 = -4.6,confirms Phase 36; discriminators at higher z
45,octet (Sig-Lam)/(Xi-Lam) = 1/phi^2,golden partition,mass,SUPPORTED,0.108% off 1/phi^2; but see H54b (13/34 at 0.0067%),family-recall: needs H54b Fibonacci-rational caveat
45,(Xi-Sig)/(Sig-Lam) = phi,golden gap ratio,mass,SUPPORTED,0.175% off phi,same partition re-expressed
47,theta = 1/2 from Z2->U(1) embedding,holonomy W=-1 -> e^i pi,topological,DERIVED,"exact, parameter-free",load-bearing derivation
48,stable-knot fraction = 1/34,"1/F_9, F1..F9 mapping",counting,SUPPORTED,1/34 ~ 2.94% vs empirical 3.13% +/- 0.48%,structural conjecture; least-constrained mapping
48,boson/fermion ratio = F_7/F_6 = phi approx,F_7/F_6 = 13/8,counting,SUPPORTED,1.625 ~ phi,consecutive-F ratio
50,"bare (u,d,s) golden partition",(m_d-m_u)/(m_s-m_u) = 1/phi^2,mass,NEGATIVE,0.0275 (92.8% off); RG-invariant,"partition is for bound-state knots, not bare quarks"
51,D_eff = phi on true incommensurate lattice,spectral dimension,spectral,NEGATIVE,"D_eff ~ 2.2, never phi","phi = self-similarity (KKT trace map) + twist, not dimension"
52,consecutive-F two-gap partition,"N -> (F_k-1, F_k-2)",counting,SUPPORTED,55->21/34 ... 377->144/233 exact,geometric substrate of Phase 48 counting
52,parity fraction 0.446 (Klein vs 0.000 torus),theta=1/2 generator,topological,SUPPORTED,0.446 N-independent,matches Phase 23a/51
53,charm octet golden partition,(Sig_c-Lam_c)/(Xi_c-Lam_c) = 1/phi^2,mass,NEGATIVE,"0.9149 (139.5% off, 205 sigma)",partition is light-octet specific
53,bottom octet golden partition,(Sig_b-Lam_b)/(Xi_b-Lam_b) = 1/phi^2,mass,NEGATIVE,1.1067 (189.7% off); ordering inverted,hard non-emergent heavy mass erases balance
2 phi8,magnification M = phi^8,M from R_f,coupling,DEMOTED,Phase 8's 46.98 is definitional; required M is 4.4% off,see notes/IST_phi8_caution.md; no phase built
55,photon dispersion-free c,v_g = d(omega_0 + v|k|)/dk = v,photon propagation,SUPPORTED,v_g = 1.00000 across omega_0 in {0..1.2},"universal speed independent of carrier; structural, not a fit"
55,photon achirality,parity-inversion = 0.000 (spin-1),photon propagation,SUPPORTED,0.000 on true Fibonacci-Klein lattice (N=210/360/480),rungs cross the zero point symmetrically vs electron 0.446
55,photon massless E=h*nu,"E = omega_0, m = 0",photon propagation,SUPPORTED,E = omega_0 exactly (slope 1.0); v_g const,"energy linear in frequency, speed independent of energy"
55,single U(1) photon species,F_2 = 1,photon propagation,SUPPORTED,"one gapless branch, two shared helicity modes",rung binding does not create a second propagating species
56,achiral parity-odd 4WM channel,c2/c1 = 0.000,vacuum 4WM,SUPPORTED,IST 0.000 vs QED 1.7500 (canonical 7/4),parity-invariant dual-mode vacuum cannot source (F.F~)^2
56,golden-weighted parity-even 4WM coupling,c1 = alpha/phi^2 (scale phi^2/alpha ~ 358.8),vacuum 4WM,SUPPORTED,"IST/QED coupling ~52.3, signal ~2.7e3",surviving channel carries the substrate golden charge scale
56,4WM output peak at universal c,v_g = c,vacuum 4WM,SUPPORTED,v_g = 1.000000; Zhang et al. observe ~0.99c,"dual-mode dispersion, H55a consistent"
57,single-strand photon excluded (parity),"parity-inversion 0.446 vs dual-mode 0.000",photon propagation,NEGATIVE,"0.446 computed on true Fibonacci-Klein lattice (N=210/360/480)",single strand is chirally indistinguishable from a fermion; speed is degenerate (v_g=1.0 both)
57,single-strand photon excluded (helicity),1 helicity mode vs 2 (E_+, E_-),photon propagation,NEGATIVE,1 vs 2,two polarizations need two strands
57,bare "no knot -> v=c" default disperses,"free Schrodinger walk on Klein graph, no rung binding",photon propagation,NEGATIVE,"concentration 1.0 -> ~0.03 (spreads)",rungs are load-bearing; old default DEMOTED to speed-only, insufficient
57,dual-mode geometry forced,"achiral (0.000) + two helicities + bound compound",photon propagation,SUPPORTED,0.000 parity; 2 helicities; concentration stays 1.0,consistent with Phases 55 (achirality) and 52 (electron = single-strand knot 0.446)
58,block-spin RG never reaches phi,D_eff ~ 2.2 non-convergent,spectral,NEGATIVE,"min |D_eff - phi| ~ 0.54; range ~0.14; r2 degrades","wrong RG (Galerkin) for a quasiperiodic substrate; explains H51c"
58,block-spin RG has no golden fixed point,"no clean D_eff fixed point across levels",spectral,NEGATIVE,range ~0.14 across 5 levels,decimation does not respect the incommensurate substitution structure
58,natural RG growth eigenvalue = phi,F_{n+1}/F_n -> phi exactly,spectral,SUPPORTED,error 9.8e-9 at generation 19,parameter-free Fibonacci inflation eigenvalue
58,KKT trace map is the exact RG kernel,"x_{n+1} = 2 x_n x_{n-1} - x_{n-2}",spectral,DERIVED,"recurrence 2.3e-13; Fricke invariant 4.7e-10",machine-precision (Phase 51 H51a exactness reused)
59,strict amplitude anchor invisible,"eps = alpha/phi^2 fixed; dchi2 = +0.15",cosmology,NEGATIVE,+0.15 vs LCDM in 60 H(z) points,0.28% modulation far below chronometer noise; needs ~9x better H(z) for 3sigma
59,golden period anchor gives a hint,"Delta = ln(phi) fixed; eps = 0.106 +- 0.043",cosmology,PARTIAL,+2.20 vs LCDM over 2.5 cycles,pre-registered golden period is well-constrained (fitted 1.54 spans only 0.79 cycles)
59,free-Delta oscillation not significant,"best dchi2 = 3.06; local p = 0.22",cosmology,NEGATIVE,global p = 0.62 (trial count N=4),Plan 11 "0.29 sigma tension cut" is a chance fluctuation
59,golden self-similarity period = ln(phi),Delta = ln(phi) for (1+z)->phi(1+z) invariance,cosmology,DERIVED,modulation invariant under golden rescaling,sets the pre-registered DESI-era target period
60,physical free fit gives no oscillation,"eps0 >= 0; free eps0 -> 0, dchi2 ~ 0",cosmology,NEGATIVE,dchi2 < 2 on full joint data (60 H(z)+1701 SNe+5 BAO),oscillation absent under physical amplitude constraint
60,no-sign free fit reproduces 4sigma claim,"eps0 < 0 allowed; dchi2 = +39, eps0 = -0.098",cosmology,NEGATIVE,"eps0<0 = hidden phase shift pi; unacknowledged dof in the claim","the claimed '4sigma' is the anti-phase artifact"
60,pre-registered joint phi3 invisible,"eps0=alpha/phi^2, Delta=ln phi, beta=phi^3; dchi2 = +1.0",cosmology,NEGATIVE,nearly identical to LCDM,strict derived oscillation adds nothing to joint data
60,amplitude bridge fails,"eps_eff(phi^3) = 0.032 at z~0.78; gap x3.3 to Phase 59 eps~0.106",cosmology,NEGATIVE,"(1+z)^phi^3 at z~0.78 gives 0.032; not 0.106",e-fold running with beta=phi^3 does not close alpha/phi^2 -> 0.106 gap
61,exchange phase = Z2 exchange holonomy,"chi = -1 single-strand (cycle -I), +1 dual-strand (cycle +I)",spin-statistics,DERIVED,meridian W = -1 + 4-tick cycle holonomy (Phase-25 machinery),composes Phase 47 W=-1 with Phases 55/57 strand structure; torus both +1; zero free parameters
61,Pauli exclusion is the exchange algebra,"(1+P)|i,i> = 0 for chi = -1; P^2 = I",spin-statistics,DERIVED,double occupancy annihilated topologically,fermions excluded; bosons allowed (symmetric survives); mixed species no exclusion
61,anyon collapse is the Z2 holonomy,all Klein Wilson loops are +/-1; theta = pi unique +-1 point,spin-statistics,DERIVED,continuous U(1) holonomy theta != pi gives P^2 != I (anyonic),the flat Z2 seam (Phase 47) quantizes the braid phase to +-1 before the emergent-3D question
61,neutrino is a fermion (prediction),single-strand -> chi = -1,spin-statistics,CONSISTENT,consistent with observation,strand classifier (dimensional-emergence note): single-strand => seam parity => fermion
62,vacuum birefringence: modes decouple by invariant,n(E||B)-1 = 16 c2 B^2 sin^2(theta); n(E_|_B)-1 = 16 c1 B^2 sin^2(theta),quantum vacuum,DERIVED,"exact match to canonical (14/45, 8/45) ratio 7/4 = c2/c1",derived from L = c1(F^2)^2 + c2(F.F~)^2 by exact quadratic expansion; verified at all angles
62,c2/c1 = 0 survives IXPE VB (structural),n(E||B) = 1 exactly at all angles for c2 = 0,quantum vacuum,SUPPORTED,E||B mode non-refractive; normalization-independent,"Stewart et al. 2026 does not extract |Delta n| (model-dependent, single source); mode-resolved signature untested"
62,c1 = alpha/phi^2 (52.3x QED) is in tension with IXPE,VR energy moves to ~0.4 keV; decoupling 318 R*,quantum vacuum,NEGATIVE,observed VR dip at 2-4 keV; paper band 30-300 R*,the Phase 56 magnitude reading is gated OFF pending a physical c1 normalization derivation
62,c1 ~ QED strength with c2 = 0 is consistent,|Delta n| = (4/3) QED sign-flipped; r_dec ~ 144 R*,quantum vacuum,CONSISTENT,both anchors in observed bands,branch (ii) of the registration gate; the c1 normalization is a required derivation (open)
63,c1 normalization map,R = 52.33 (m_e/M_assoc)^4 from c1 = alpha/phi^2 and c1_QED = alpha^2/90m_e^4,quantum vacuum,DERIVED,R(M) exact; the 52.3x reading is the excluded M = m_e branch,Phase 62-verified kinematic structure; Phase 56 golden coupling
63,"IXPE VR band selects M_assoc in [1.1, 1.6] MeV","E_VR = 3 keV/sqrt(R), observed band 2-4 keV",quantum vacuum,SUPPORTED,"R in [0.5625, 2.25]; M_assoc in [1.122, 1.587] MeV",Stewart et al. 2026 dip location pins the loop scale
63,M_assoc = phi^2 m_e reading,R = 52.33/phi^8 = 1.114; E_VR = 2.84 keV; |dn| = 1.486x QED; 147 R*,quantum vacuum,SUPPORTED,all observables inside the IXPE anchors,the same associator suppression phi^2 the electron mass formula pays; falsifiable when |dn| is extracted
63,c1 = 52.3x QED enhancement gated (revisited),M = m_e -> E_VR = 0.41 keV,quantum vacuum,NEGATIVE,outside the observed 2-4 keV band by 5x,the surviving parity-even 4WM magnitude becomes 1.114x QED; why-phi^2 derivation CLOSED (Phase 66)
64,neutrino is single open strand (fermion),parity-inversion 0.446 on the true lattice; dual-strand 0.000 excluded,particle classification,SUPPORTED,0.4456-0.4473 across N = 210/360/480,"strand rule (Phase 61): single-strand => seam parity => fermion, consistent with observation"
64,electron-vs-neutrino hierarchy is knot closure,electron = closed knot (stable 0.044); neutrino = open strand (stability 0),particle classification,SUPPORTED,closure separates fermions within one parity class,mass = knot tension (closed); lightness = non-closure (open); falsifiable: no massive open-strand excitation
64,tunneling-probability gap re-anchored,m_nu = M_P * P_tunnel requires P_tunnel ~ 4e-30,neutrino mass,NEGATIVE,27 orders below the naive alpha/phi^2 and below the 0.446 crossing fraction,Phase 3 gap restated precisely; the classification result does not depend on closing it
64,photon dual-strand alternative excluded for neutrino,0.000 parity-inversion would be bosonic,particle classification,NEGATIVE,excluded by observed fermionic statistics,same discriminator that forced the Phase 55-57 photon geometry
65,Omega cycle is exactly closed (elliptic zero),Omega_inv(Omega(x)) = x; amplitude conserved to machine precision,zero-point structure,DERIVED,max drift 0.0 over 60 cycles; parity+memory restored,the compression-expansion cycle is the identity map: |return eigenvalue| = 1
65,parity circle is period-2,"W = -1, W^2 = +1, theta = 1/2; flip twice = identity",zero-point structure,DERIVED,exact period-2 (Z2),the wound meridian circle: the elliptic kernel of the zero point
65,temporal axis is open (hyperbolic),substitution growth eigenvalue phi > 1,temporal structure,DERIVED,"F_{n+1}/F_n -> phi, error 9.8e-9; no return",Phase 58 recomputed: the expansion direction
65,signature duality: elliptic zero vs hyperbolic time,bounded/|lambda|=1/closed vs unbounded/phi/open,signature conjecture,SUPPORTED,the runtime instantiates the contrast exactly,OQ7 first checkable layer confirmed; the strong form (pre-geometric dual of the metric signature) remains a conjecture
66,substitution matrix has two eigenvalues: phi and psi = -1/phi,characteristic equation lambda^2 = lambda + 1,renormalization,DERIVED,"phi = 1.618 (growth), psi = -0.618 (contraction)",the minus sign is the seam parity flip (Phase 61/65)
66,Fibonacci contraction ratio converges to psi,lim(-F_k/F_{k+1}) -> psi to machine precision,renormalization,DERIVED,error 3.7e-9 at k=20,the contraction direction of the RG
66,contraction eigenvector carries the seam sign,parity-flip P conjugates RG with eigenvalue -1 on psi axis,zero-point structure,DERIVED,psi eigenvector's first component flips under P,the minus in -1/phi IS the seam
66,runtime associator converges to 1/phi^2,golden-gate distribution gives E|r1-r2| = 0.3841 +/- 0.0011,associator amplitude,SUPPORTED,target 1/phi^2 = 0.3820 (0.5% error); uniform placeholder gives 2/3,Axiom 2.14 graduates from axiom to theorem-of-the-RG
66,Phase 63 reproduced without postulate,M_assoc = m_e/psi^2 = phi^2 m_e = 1.338 MeV; R = 1.114; E_VR = 2.84 keV,vacuum birefringence,SUPPORTED,all observables inside the IXPE band,the phi^2 factor is derived not postulated
66,OQ1 first estimate: level-4/3 stacking ratio is 1/phi^2,suppression |psi|^{2n} gives ratio 0.3820,dimensional emergence,SUPPORTED,the first dynamical number for the stopping rule,stacking costs psi^2 per level
66,oldest open discrepancy resolved,Phase-5 report's associator 1.0 vs 1/phi^2: raw vs RG-projected,associator amplitude,RESOLVED,the two numbers were never the same quantity,1.0 is the unrenormalized gate product; 1/phi^2 is the fixed-point value
67,TPS selection test (honest negative),zero-point state has equal entropy in all bases (margin 0.0%),quantum mereology,NEGATIVE,dynamics do NOT select thread/sheet factorization in pre-mereological phase,factorization must emerge from coherence threshold (P2-P3) not zero point (P0)
67,K-dual scan (strong uniqueness),0 K-duals found in 100 random unitaries,quantum mereology,SUPPORTED,photon's dual-strand decomposition is unique up to symmetry orbit,strong uniqueness result for the strand decomposition
67,verdict: gap localized,H67a fails + H67b passes,quantum mereology,SUPPORTED,mismatch localizes where factorization emerges,thread/sheet/strand factorization is a property of crystallized regime not pre-mereological whole
68,D_eff(N) crosses 3 at N=3,D_eff(N) = 2*(1-psi^{2N})/(1-psi^2); crosses 3 at N=3 (3.056),dimensional emergence,DERIVED,asymptotes to 2*phi = 3.236 (geometric series ratio 1/phi^2),each level contributes 2*psi^{2n} suppressed by Phase 66's psi^2
68,locus model reproduces analytic curve,P3' isotropic stacking (golden-angle rotation) gives D_eff(3) = 3.027,dimensional emergence,SUPPORTED,within 1% of analytic 3.056,P3' locus reading selected over naive-axis
68,naive-axis model overshoots,naive-axis crosses 3 at N=2 and grows linearly (2N),dimensional emergence,NEGATIVE,falsified by contrast with locus model,no anti-resonant gap without golden-angle rotation
68,topological instability at level 4,knot stability collapses to 0.006 at N=4 (vs 0.044 band),topological stability,DERIVED,knots unknot in 4D (codimension too high),second half of the stopping rule
68,OQ1 closed: 3D selected,suppression 1/phi^2 + 4D topological instability,dimensional emergence,DERIVED,D_eff converges to 2*phi and level 4 is unstable,the full dynamical stopping rule
69,mass ~ thread count,N(M) = McL/(2 pi hbar) exactly linear,gravity,SUPPORTED,N/M constant to machine precision,emc2 formula: mass is the number of frozen information threads
69,conserved flux gives 1/r^2,flux density ~ r^(1-D); slope -2.000 for D=3,gravity,DERIVED,no exponential tail; every shell passes all threads,Phase 65 zero-point conservation -> no dissipation
69,Newton's constant from substrate,G = kappa c^2 L^2/(16 pi^3 hbar^2),gravity,DERIVED,verified ratio 1.0000 against measured G,happy gap: kappa and L remain; Planck-length id wrong by ~95 orders
69,exponent tracks dimension,force exponent exactly -(D-1),gravity,DERIVED,D=3 -> -2; D=4 -> -3,inverse-square requires D=3 -> cross-validates Phase 68
69,reconciliation of two gravity mechanisms,dimensional-collapse Gaussian vs thread-counting 1/r^2,gravity,SUPPORTED,agree at short range; thread-counting supplies long-range,dimensional-collapse note's "no infinite-range tail" RESOLVED claim revised
69,H-GRAV1: thread-counting 1/r^2 profile (parallel-agent registry 113),conserved thread flux gives fitted slope -2.000 for D=3,gravity,RESOLVED,satisfied by Phase 69 (H69b/H69d) - count-don't-inject,do NOT re-run; Phase 69 derives the conservation (Phase 65) rather than embedding a knot
70,attraction from linking-mode tension,E_int(d) = -kappa^2 c^2 G(d); F = -dE/dd < 0,gravity,DERIVED,E_int<0 (bound) and dE/dd>0 at all sampled d,master-equation linking tension kappa = (alpha/phi^2) Xi_eff carries the sign
70,Green's function factorization,E_int = -kappa^2 c^2 G(d),G = 1/(4 pi d) continuum 3D kernel,gravity,DERIVED,knots live in emergent 3D space (Phase 68 D_eff=3),finite-lattice cross-check documented as a limitation (continuum medium, not finite grid)
70,sign comes from tension not geometry,kappa=0 control gives zero interaction and NO attraction,gravity,SUPPORTED,respects the 2+1-D no-attraction theorem,the widening ansatz needs the medium's tension
70,force profile is 1/d^2 in D=3,force exponent = -(D-1): D=3 -> -1.993, D=2 -> -0.996, D=4 -> -2.989,gravity,DERIVED,inverse-square requires D=3,cross-validates Phase 68/69
70,H-GRAV2 survives,attraction is a DERIVED consequence of the master-equation tension,gravity,DERIVED,knot-widening picture's hardest obstacle cleared,H-GRAV1 (Phase 69) -> H-GRAV2 (Phase 70) -> H-GRAV3 (metric, open)
